"Source","Target","Weight","Type"
1531693013210222592,1531692832192356352,1,"directed"
1531692975910158336,1531692879478939648,1,"directed"
1531692966854676480,1531692620312977408,1,"directed"
1531692954502447104,1531692831596851200,1,"directed"
1531692916904808448,1531692516688465920,1,"directed"
1531692897627738112,1531691949094277120,1,"directed"
1531692895694110720,1531692471692201984,1,"directed"
1531692821647859712,1531692164446560256,1,"directed"
1531692753205219328,1531692516688465920,1,"directed"
1531692563211898880,1531692235602919424,1,"directed"
1531692346873634816,1531692077586726912,1,"directed"
